duration_as_adoptable,age,breed_mixed,breed_primary,city,coat,color_primary,distance,gender,goodwith_cats,goodwith_children,goodwith_dogs,hasimage,hasvideo,house_trained,population,shots_current,size,spayed_neutered,special_needs
32.25826388888889,Young,True,Siberian Husky,Olympia,unknown,White / Cream,8.3124,Male,unknown,unknown,unknown,True,False,False,48941.0,True,Medium,True,False
15.015335648148149,Adult,True,Shepherd,Olympia,unknown,White / Cream,8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
13.971550925925927,Young,True,Labrador Retriever,Olympia,unknown,Red / Chestnut / Orange,8.3124,Male,False,True,True,True,False,False,48941.0,True,Medium,True,False
27.962870370370368,Baby,True,Chihuahua,Olympia,unknown,Yellow / Tan / Blond / Fawn,8.3124,Male,unknown,False,True,True,False,False,48941.0,True,Small,True,False
21.59903935185185,Baby,True,Chihuahua,Olympia,unknown,Brown / Chocolate,8.3124,Male,unknown,False,True,True,False,False,48941.0,True,Small,True,False
2.170601851851852,Young,True,Schnauzer,Olympia,unknown,Black,8.3124,Female,True,True,True,True,True,False,48941.0,True,Medium,True,False
50.0265625,Young,True,Schnauzer,Olympia,unknown,Black,8.3124,Female,False,unknown,True,True,True,False,48941.0,True,Medium,True,False
5.753923611111111,Baby,True,Australian Cattle Dog / Blue Heeler,Olympia,Short,Bicolor,8.3124,Female,unknown,unknown,unknown,True,False,False,48941.0,True,Medium,True,False
6.787025462962962,Baby,True,Labrador Retriever,Olympia,Short,Bicolor,8.3124,Female,unknown,True,True,True,False,False,48941.0,True,Small,True,False
6.583414351851853,Baby,True,Labrador Retriever,Olympia,Hairless,Bicolor,8.3124,Female,unknown,True,True,True,False,False,48941.0,True,Small,True,False
10.351597222222225,Baby,True,Australian Cattle Dog / Blue Heeler,Olympia,Short,Black,8.3124,Male,False,True,True,True,False,True,48941.0,True,Medium,True,False
14.893923611111115,Baby,True,Labrador Retriever,Olympia,unknown,Gray / Blue / Silver,8.3124,Male,True,True,True,True,False,False,48941.0,True,Medium,True,False
9.140497685185183,Baby,True,Husky,Olympia,unknown,"Tricolor (Brown, Black, & White)",8.3124,Male,unknown,unknown,unknown,True,False,False,48941.0,True,Large,True,False
11.496944444444445,Baby,True,Labrador Retriever,Olympia,Short,Yellow / Tan / Blond / Fawn,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
