index,Total population,Total population Male,Total population Female,Total population Median age (years),Total population 18 and over,Total population 18 and over Male,Total population 18 and over Female
Lake McMurray,132,62,70,56.5,123,62,61
Lake Morton-Berrydale,9921,4873,5048,44.1,7605,3807,3798
Lake Roesiger,772,280,492,48.1,584,211,373
Lake Shore,6957,3292,3665,45.0,5171,2373,2798
Lake Stevens,29774,15132,14642,33.3,20384,9979,10405
Lake Stickney,8930,4496,4434,32.4,5334,2768,2566
Lake Tapps,12710,6295,6415,39.5,9425,4733,4692
Lakeland North,12380,6235,6145,39.2,8844,4565,4279
Lakeland South,13460,6598,6862,39.2,9501,4531,4970
Lakeview,892,474,418,54.3,614,327,287
Lakewood,59122,29255,29867,36.1,41850,20868,20982
Lamont,84,39,45,45.2,59,28,31
Langley,1287,543,744,57.5,991,405,586
Larch Way,3834,1850,1984,40.3,2434,1341,1093
Latah,160,76,84,31.5,98,46,52
Leavenworth,2227,1073,1154,46.4,1798,869,929
Lebam,133,77,56,37.3,122,66,56
Lewisville,1732,888,844,47.4,1212,655,557
Liberty Lake,8269,4185,4084,35.4,5595,2556,3039
Lind,488,216,272,37.2,296,147,149
Lochsloy,2593,1311,1282,46.3,1969,928,1041
Lofall,2081,1090,991,44.6,1663,914,749
Long Beach,1434,699,735,52.3,1150,500,650
Longbranch,3023,1535,1488,43.9,2260,1133,1127
Longview,36619,17653,18966,42.1,27689,13134,14555
Longview Heights,3403,1729,1674,45.6,2673,1424,1249
Loomis,85,54,31,67.1,85,54,31
Loon Lake,766,404,362,54.4,583,282,301
Lower Elochoman,130,69,61,68.6,130,69,61
Lyle,578,246,332,46.7,347,172,175
Lyman,591,292,299,37.2,442,229,213
Lynden,12886,5980,6906,38.1,8988,3988,5000
Lynnwood,36491,18236,18255,38.1,24046,11941,12105
Mabton,2329,1203,1126,25.5,957,509,448
Machias,1168,556,612,39.4,848,417,431
Malden,168,86,82,54.3,135,70,65
Malone,551,141,410,34.9,343,117,226
Malott,649,399,250,27.6,354,229,125
Maltby,11220,5945,5275,43.2,8459,4587,3872
Manchester,5094,2861,2233,41.5,3737,2035,1702
Mansfield,291,148,143,54.6,252,124,128
Manson,1284,602,682,52.5,932,417,515
Maple Heights-Lake Desire,3416,1860,1556,45.9,2592,1380,1212
Maple Valley,24682,12101,12581,36.1,16437,7969,8468
Maplewood,4961,2241,2720,47.1,3746,1771,1975
Marblemount,63,19,44,43.7,55,19,36
Marcus,163,88,75,54.2,133,74,59
Marietta-Alderwood,4704,2188,2516,35.3,3581,1588,1993
Markham,126,73,53,65.0,115,66,49
Marrowstone,1242,618,624,51.9,949,483,466
Martha Lake,17163,8161,9002,34.4,11971,5942,6029
Marysville,63760,31893,31867,34.7,44344,22183,22161
Mattawa,4516,2510,2006,21.6,297,138,159
May Creek,661,303,358,41.2,516,236,280
McChord AFB,3288,1798,1490,21.5,1872,1084,788
McCleary,1965,971,994,33.3,1369,683,686
McKenna,970,481,489,33.3,596,287,309
McMillin,1399,651,748,53.0,1192,581,611
Mead,7363,3709,3654,46.0,5598,2753,2845
Meadow Glade,2649,1242,1407,42.4,1882,910,972
Meadowdale,2806,1335,1471,44.6,2084,1008,1076
Medical Lake,4924,2277,2647,31.2,3747,1707,2040
Medina,3120,1530,1590,45.4,1989,923,1066
Mercer Island,24120,11742,12378,45.3,16890,8037,8853
Mesa,352,198,154,26.5,134,65,69
Metaline,206,101,105,48.5,163,83,80
Metaline Falls,136,71,65,62.7,124,62,62
Methow,49,35,14,53.9,49,35,14
Midland,8349,3969,4380,34.6,5252,2409,2843
Mill Creek,19028,9349,9679,41.3,13366,6404,6962
Mill Creek East,17967,8780,9187,35.4,11467,5631,5836
Millwood,1686,861,825,40.0,1319,669,650
Milton,7219,3446,3773,35.9,5512,2700,2812
Mineral,188,120,68,60.3,188,120,68
Minnehaha,9548,4797,4751,38.5,6913,3416,3497
Mirrormont,3763,1953,1810,47.4,2928,1466,1462
Monroe,17734,10313,7421,34.2,11478,6925,4553
Monroe North,1584,807,777,35.7,1030,518,512
Montesano,3894,1995,1899,39.2,2880,1447,1433
Morton,1296,595,701,40.5,879,422,457
Moses Lake,21579,10459,11120,31.5,13008,6089,6919
Moses Lake North,4057,2053,2004,24.4,2513,1310,1203
Mossyrock,789,444,345,37.8,493,278,215
Mount Vernon,32957,16442,16515,33.6,19814,9374,10440
Mount Vista,7995,3912,4083,44.0,6129,2967,3162
Mountlake Terrace,20521,9926,10595,37.5,14846,6886,7960
Moxee,3702,1788,1914,27.5,2086,1078,1008
Mukilteo,20818,11005,9813,42.7,14776,7547,7229
Naches,881,417,464,35.4,628,293,335
Napavine,1748,807,941,39.5,1315,578,737
