age,gender,size,coat,distance,spayed_neutered,house_trained,declawed,special_needs,shots_current,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,color_tertiary,goodwith_children,goodwith_dogs,goodwith_cats,hasimage,hasvideo,duration_as_adoptable,city,population
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Orange / Red,White,none,unknown,unknown,unknown,True,False,39.64243055555556,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Siamese,none,True,False,unknown,none,none,unknown,unknown,unknown,True,False,32.66677083333333,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,18.650972222222226,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Siamese,none,True,False,unknown,none,none,unknown,unknown,unknown,True,False,39.646585648148154,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,unknown,unknown,unknown,True,False,82.01744212962961,Longview,36619.0
Adult,Female,Medium,Long,1.6952,True,False,False,False,True,Domestic Long Hair,none,True,False,Black,Brown / Chocolate,none,unknown,unknown,unknown,True,False,9.121481481481483,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,unknown,unknown,unknown,True,False,67.71447916666666,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Tabby (Orange / Red),White,none,unknown,unknown,unknown,True,False,109.71342592592592,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,unknown,True,False,7.046423611111112,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,147.1357638888889,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,unknown,True,False,11.701863425925925,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,unknown,True,False,0.9629745370370372,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,69.71052083333333,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Orange & White,none,none,unknown,unknown,unknown,True,False,91.9926273148148,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,unknown,unknown,unknown,True,False,4.963599537037037,Longview,36619.0
Baby,Female,Medium,Medium,1.6952,True,False,False,False,True,Domestic Medium Hair,none,True,False,Gray & White,none,none,unknown,unknown,unknown,False,False,13.699282407407408,Longview,36619.0
Baby,Male,Medium,Medium,1.6952,True,False,False,False,True,Domestic Medium Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,False,False,13.700717592592593,Longview,36619.0
Young,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,unknown,True,False,69.06916666666666,Longview,36619.0
Young,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,unknown,unknown,unknown,True,False,117.75645833333333,Longview,36619.0
Baby,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Gray / Blue / Silver,White,none,unknown,unknown,unknown,True,False,0.8954050925925926,Longview,36619.0
Baby,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Gray & White,none,none,unknown,unknown,unknown,True,False,4.7017592592592585,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Siamese,none,True,False,Chocolate Point,none,none,unknown,unknown,unknown,True,False,40.118483796296296,Longview,36619.0
Young,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Gray / Blue / Silver,none,none,unknown,unknown,unknown,False,False,3.8408796296296295,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,unknown,unknown,unknown,True,False,75.21063657407406,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,unknown,False,False,3.8428819444444446,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Gray & White,none,none,unknown,unknown,unknown,True,False,210.3896990740741,Longview,36619.0
Adult,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Orange & White,none,none,unknown,unknown,unknown,False,False,194.0216898148148,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,55.96872685185186,Longview,36619.0
Adult,Female,Medium,Medium,1.6952,True,False,False,False,True,Domestic Medium Hair,none,True,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,unknown,False,False,24.956921296296297,Longview,36619.0
Senior,Male,Large,Long,1.6952,True,False,False,False,True,Domestic Long Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,16.369444444444444,Longview,36619.0
Adult,Male,Large,Long,1.6952,True,False,False,False,True,Domestic Long Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,False,False,0.6110416666666667,Longview,36619.0
Baby,Male,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Gray & White,none,none,unknown,unknown,unknown,True,False,0.6715046296296296,Longview,36619.0
Baby,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Gray & White,none,none,unknown,unknown,unknown,True,False,0.672511574074074,Longview,36619.0
Adult,Female,Medium,Short,1.6952,True,False,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,unknown,True,False,21.89585648148148,Longview,36619.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Tabby (Brown / Chocolate),none,none,True,True,True,True,True,4.086828703703704,Republic,1154.0
Baby,Female,Medium,Medium,3.7316,True,True,False,False,True,Tortoiseshell,Domestic Medium Hair,True,False,unknown,none,none,True,True,True,True,True,3.3466550925925924,Republic,1154.0
Baby,Male,Medium,Medium,3.7316,True,True,False,False,True,Domestic Medium Hair,none,True,False,Black,none,none,True,True,True,True,True,3.3480902777777777,Republic,1154.0
Adult,Female,Medium,Long,3.7316,True,True,False,False,True,Domestic Long Hair,Tabby,True,False,Tabby (Brown / Chocolate),White,none,True,unknown,unknown,True,True,19.021550925925926,Republic,1154.0
Baby,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Tabby (Gray / Blue / Silver),White,none,True,True,True,True,True,3.384560185185185,Republic,1154.0
Adult,Female,Medium,Medium,3.7316,True,True,False,False,True,Domestic Medium Hair,none,True,False,Gray / Blue / Silver,none,none,True,unknown,unknown,True,True,32.37994212962963,Republic,1154.0
Baby,Female,Medium,Medium,3.7316,True,True,False,False,True,Domestic Medium Hair,Tabby,True,False,Orange & White,Tabby (Orange / Red),White,True,True,True,True,True,0.7901273148148148,Republic,1154.0
Baby,Female,Medium,Medium,3.7316,True,True,False,False,True,Domestic Medium Hair,Tabby,True,False,Orange & White,Tabby (Orange / Red),White,True,True,True,True,True,1.953773148148148,Republic,1154.0
Adult,Female,Medium,Short,3.7316,True,True,False,False,True,Tortoiseshell,Domestic Short Hair,True,False,Tortoiseshell,White,none,True,True,True,True,True,20.973449074074075,Republic,1154.0
Adult,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,True,unknown,True,True,True,97.74775462962965,Republic,1154.0
Baby,Female,Medium,Short,3.7316,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Gray & White,Tabby (Gray / Blue / Silver),White,True,True,True,True,True,9.778831018518519,Republic,1154.0
Baby,Female,Medium,Short,3.7316,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Gray & White,Tabby (Gray / Blue / Silver),White,True,True,True,True,True,12.851018518518519,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Gray / Blue / Silver,Tabby (Gray / Blue / Silver),none,True,True,True,True,True,9.792523148148147,Republic,1154.0
Adult,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Tabby (Brown / Chocolate),White,none,True,False,True,True,True,5.1665277777777785,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Tuxedo,Domestic Short Hair,True,False,Gray & White,Gray / Blue / Silver,White,True,True,True,True,True,30.186631944444446,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Tabby (Gray / Blue / Silver),White,none,True,True,True,True,True,20.03172453703704,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tuxedo,True,False,Gray & White,Gray / Blue / Silver,White,True,True,True,True,True,30.188078703703702,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,none,True,False,White,Black,none,True,True,True,True,True,44.319444444444436,Republic,1154.0
Adult,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Gray / Blue / Silver,Tabby (Gray / Blue / Silver),none,unknown,unknown,True,True,True,33.94539351851852,Republic,1154.0
Adult,Male,Medium,Short,3.7316,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Tabby (Brown / Chocolate),White,none,True,unknown,True,True,True,37.66377314814815,Republic,1154.0
Adult,Male,Large,Short,3.7316,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Orange / Red,Tabby (Orange / Red),none,True,unknown,unknown,True,True,8.679814814814815,Republic,1154.0
Adult,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Tabby (Brown / Chocolate),none,none,True,True,True,True,True,124.75598379629628,Republic,1154.0
Adult,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Orange & White,Tabby (Orange / Red),none,unknown,True,False,True,True,100.83618055555556,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,none,True,False,Gray / Blue / Silver,Tabby (Gray / Blue / Silver),none,True,True,True,True,True,22.386527777777783,Republic,1154.0
Baby,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,True,True,True,True,True,9.059085648148148,Republic,1154.0
Young,Female,Medium,Long,3.7316,True,True,False,False,True,Maine Coon,Domestic Long Hair,True,False,Tabby (Brown / Chocolate),none,none,True,unknown,True,True,True,12.422638888888885,Republic,1154.0
Young,Female,Medium,Short,3.7316,True,True,False,False,True,Russian Blue,Domestic Short Hair,True,False,Gray / Blue / Silver,none,none,True,unknown,True,True,True,12.426192129629632,Republic,1154.0
Adult,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Siamese,True,False,Cream / Ivory,Tabby (Gray / Blue / Silver),none,True,unknown,True,True,True,12.434895833333336,Republic,1154.0
Baby,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tortoiseshell,True,False,Tortoiseshell,none,none,True,True,True,True,True,46.011388888888895,Republic,1154.0
Baby,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Torbie,True,False,Tabby (Tiger Striped),Torbie,Tortoiseshell,True,True,True,True,True,4.680613425925926,Republic,1154.0
Baby,Male,Medium,Medium,3.7316,True,True,False,False,True,Domestic Medium Hair,none,True,False,Black,White,none,True,True,True,True,True,46.019363425925924,Republic,1154.0
Baby,Male,Medium,Long,3.7316,True,True,False,False,True,Domestic Long Hair,none,True,False,Black,none,none,True,True,True,True,True,63.07778935185186,Republic,1154.0
Baby,Male,Medium,Long,3.7316,True,True,False,False,True,Domestic Long Hair,none,True,False,Black,none,none,True,True,True,True,True,135.0449537037037,Republic,1154.0
Baby,Male,Medium,Long,3.7316,True,True,False,False,True,Domestic Long Hair,none,True,False,Black,Gray / Blue / Silver,none,True,True,True,True,True,135.04585648148148,Republic,1154.0
Baby,Male,Medium,Long,3.7316,True,True,False,False,True,Domestic Long Hair,none,True,False,Black,Gray / Blue / Silver,none,True,True,True,True,True,26.22877314814815,Republic,1154.0
Adult,Male,Large,Short,3.7316,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,White,none,True,True,True,True,True,28.34559027777777,Republic,1154.0
Adult,Female,Medium,Long,3.7316,True,True,False,False,True,Tabby,Domestic Long Hair,True,False,Tabby (Brown / Chocolate),none,none,True,unknown,True,True,True,5.9629976851851865,Republic,1154.0
Adult,Male,Medium,Long,3.7316,True,True,False,False,True,Maine Coon,Tabby,True,False,Tabby (Brown / Chocolate),none,none,True,unknown,unknown,True,True,28.35351851851852,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Tabby (Gray / Blue / Silver),White,none,True,True,True,True,True,59.0,Republic,1154.0
Baby,Male,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Tabby (Brown / Chocolate),White,none,True,True,True,True,True,5.279236111111112,Republic,1154.0
Baby,Female,Medium,Short,3.7316,True,True,False,False,True,Domestic Short Hair,Tortoiseshell,True,False,Dilute Tortoiseshell,White,none,True,True,True,True,True,5.280520833333333,Republic,1154.0
Adult,Male,Medium,Short,3.0898,True,True,False,False,False,Domestic Short Hair,none,False,False,Black,none,none,unknown,unknown,unknown,True,False,55.13361111111111,Olympia,48941.0
Baby,Female,Small,Short,1.2878,True,True,False,False,True,Bengal,none,True,False,Tabby (Brown / Chocolate),none,none,True,True,True,True,False,36.80684027777778,Lacey,44825.0
Baby,Male,Medium,Short,3.1272,True,True,False,False,False,Siamese,none,False,False,unknown,none,none,unknown,unknown,True,True,False,20.976828703703703,Quilcene,437.0
Young,Female,Small,Short,3.1272,True,True,False,False,False,Domestic Short Hair,Tortoiseshell,True,False,Tortoiseshell,none,none,True,unknown,True,True,False,155.8496875,Quilcene,437.0
Adult,Female,Medium,Medium,3.1272,True,True,False,False,False,Domestic Medium Hair,none,False,False,Buff / Tan / Fawn,none,none,True,unknown,True,True,False,52.84841435185186,Quilcene,437.0
Adult,Female,Medium,Short,3.1272,True,True,False,False,False,Calico,none,True,False,Calico,none,none,True,unknown,True,True,False,147.87947916666667,Quilcene,437.0
Baby,Female,Medium,Medium,8.7293,True,True,False,False,True,Birman,Tortoiseshell,True,False,Dilute Calico,Dilute Tortoiseshell,none,True,True,True,True,False,7.974363425925926,La Center,3066.0
Baby,Male,Small,Short,8.7293,True,True,False,False,True,Birman,Tortoiseshell,True,False,Dilute Calico,Dilute Tortoiseshell,none,True,True,True,True,False,7.9821180555555555,La Center,3066.0
Young,Female,Medium,Short,8.7293,True,True,False,False,True,Snowshoe,none,True,False,unknown,none,none,True,True,True,True,False,23.76471064814815,La Center,3066.0
Young,Male,Medium,Medium,6.9289999999999985,False,False,False,False,False,Tabby,Domestic Medium Hair,True,False,Tabby (Orange / Red),none,none,unknown,True,unknown,True,False,55.4004513888889,Olympia,48941.0
Adult,Male,Large,Short,6.9289999999999985,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Tabby (Orange / Red),none,none,unknown,unknown,True,True,False,29.367546296296297,Olympia,48941.0
Adult,Female,Medium,Short,2.7243,True,True,False,False,True,Tabby,Domestic Short Hair,True,False,Tabby (Gray / Blue / Silver),none,none,True,True,True,True,False,17.152916666666666,Spokane Valley,92286.0
Young,Female,Medium,Short,2.7243,True,True,False,False,True,Tuxedo,Domestic Short Hair,True,False,Black & White / Tuxedo,none,none,True,False,False,True,False,8.164189814814815,Spokane Valley,92286.0
Adult,Male,Medium,Short,2.7243,True,True,False,False,True,Tabby,Bengal,True,False,Black,Tabby (Brown / Chocolate),none,unknown,unknown,False,True,False,19.05863425925926,Spokane Valley,92286.0
Adult,Male,Medium,Short,2.7243,True,True,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,unknown,True,True,False,4.871666666666667,Spokane Valley,92286.0
Adult,Male,Large,unknown,0.1439,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,unknown,unknown,unknown,True,False,66.21861111111112,Pullman,31502.0
Baby,Female,Small,Medium,0.1439,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,unknown,True,True,True,False,15.022210648148148,Pullman,31502.0
Baby,Male,Medium,Medium,0.1439,True,True,False,False,True,Domestic Medium Hair,none,False,False,Black & White / Tuxedo,none,none,unknown,unknown,True,True,False,2.9315509259259267,Pullman,31502.0
Baby,Male,Medium,Medium,0.1439,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,unknown,unknown,unknown,True,False,138.32413194444445,Pullman,31502.0
Baby,Female,Small,Short,0.1439,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,unknown,True,True,True,False,33.14233796296296,Pullman,31502.0
Baby,Male,Medium,Short,0.1439,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,unknown,True,True,True,False,161.29364583333333,Pullman,31502.0
Young,Female,Small,Short,0.1439,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,unknown,unknown,unknown,True,False,105.39686342592593,Pullman,31502.0
